idCollect,accx,accy,accz,rmsx,rmsy,rmsz,temp,data,Gateway_idGateway,Place_idPlace
17418,15092,15122,9228,3991,4116,8827,1269,2019-06-17 21:38:18,1,1
17419,17296,15570,10162,4157,4452,8744,1329,2019-06-17 21:39:23,1,1
17420,14666,16064,8772,4202,4126,8102,1371,2019-06-17 21:40:27,1,1
17421,10704,16590,7982,3451,3650,8028,1416,2019-06-17 21:41:31,1,1
17422,23556,16610,8764,4993,4436,9658,1449,2019-06-17 21:42:37,1,1
17423,19672,14338,10334,5376,3432,8385,1534,2019-06-17 21:45:50,1,1
17424,15338,15288,8960,3815,4092,8598,1577,2019-06-17 21:46:55,1,1
17425,27158,16764,9180,6348,4542,9184,1604,2019-06-17 21:48:00,1,1
17426,16964,12690,7566,4674,3661,7937,1624,2019-06-17 21:49:04,1,1
17427,18110,10582,5580,5269,3451,8677,1640,2019-06-17 21:50:09,1,1
17428,32388,20754,11728,7824,5210,8683,1648,2019-06-17 21:51:14,1,1
17429,20578,14754,9084,4913,4043,7574,1664,2019-06-17 21:52:18,1,1
17430,16392,14026,8798,3955,5175,8938,1675,2019-06-17 21:53:23,1,1
17431,20506,12254,8630,5878,3206,8245,1687,2019-06-17 21:54:28,1,1
17432,28676,13630,8148,5800,3877,8500,1700,2019-06-17 21:55:32,1,1
17433,17578,15230,7838,5466,4050,8046,1710,2019-06-17 21:56:38,1,1
17434,17548,17634,13678,4766,4359,9441,1739,2019-06-17 21:59:54,1,1
17435,21922,12498,7810,5606,3322,8544,1752,2019-06-17 22:00:57,1,1
17436,20438,13850,14062,4989,3318,9049,1766,2019-06-17 22:02:01,1,1
17437,17012,16398,6906,4863,3934,9585,1766,2019-06-17 22:03:05,1,1
17438,16730,16490,10092,4462,3407,8476,1770,2019-06-17 22:04:11,1,1
17439,11614,11694,10446,2885,3186,8373,1796,2019-06-17 22:05:15,1,1
17440,20912,16140,10336,5291,4099,8514,1785,2019-06-17 22:06:24,1,1
17441,17306,18628,8936,5064,4427,7800,1802,2019-06-17 22:07:25,1,1
17442,18324,12510,10080,4791,3183,9457,1808,2019-06-17 22:08:30,1,1
17443,22170,17802,7170,5234,5300,8634,1816,2019-06-17 22:09:36,1,1
17444,15214,9754,11368,4114,2678,7761,1806,2019-06-17 22:10:39,1,1
17445,18050,15222,6854,4456,4435,8694,1765,2019-06-17 22:13:55,1,1
17446,21854,21296,7898,5764,4451,7928,1753,2019-06-17 22:15:03,1,1
17447,17384,16580,8804,3925,4756,8652,1715,2019-06-17 22:18:11,1,1
17448,18232,17296,10554,4671,4177,8475,1654,2019-06-17 22:21:28,1,1
17449,21662,16610,9666,4446,4341,8217,1637,2019-06-17 22:22:33,1,1
17450,13402,13698,9482,4249,3708,8530,1619,2019-06-17 22:23:36,1,1
17451,14038,15232,10854,4136,5283,9515,1592,2019-06-17 22:24:39,1,1
17452,15518,19404,11490,4281,4599,9038,1573,2019-06-17 22:25:46,1,1
17453,16436,16580,12070,5243,4170,9356,1564,2019-06-17 22:26:50,1,1
17454,16404,15232,9480,5101,3837,8872,1540,2019-06-17 22:32:14,1,1
17455,20988,11858,7276,5079,3161,8451,1549,2019-06-17 22:33:17,1,1
17456,20140,12172,10910,6053,3126,8303,1555,2019-06-17 22:34:23,1,1
17457,26178,13632,6510,6103,3426,8690,1574,2019-06-17 22:35:33,1,1
17458,12238,13398,9068,3364,3083,8228,1591,2019-06-17 22:36:32,1,1
17459,25034,13056,6766,5302,3607,8667,1612,2019-06-17 22:37:39,1,1
17460,20718,15200,8726,4851,3902,8197,1624,2019-06-17 22:38:45,1,1
17461,17290,15748,9948,4664,4663,8322,1653,2019-06-17 22:39:45,1,1
17462,21738,13534,6490,4570,4745,9490,1722,2019-06-17 22:42:59,1,1
17463,18756,13172,8706,4232,3446,8170,1822,2019-06-17 22:48:22,1,1
17464,21308,13194,7546,4633,3593,8377,1831,2019-06-17 22:49:27,1,1
17465,13716,11772,10598,3617,3718,8119,1844,2019-06-17 22:51:40,1,1
17466,22468,13084,13120,5149,3779,8833,1864,2019-06-17 22:52:41,1,1
17467,18778,18000,14248,6062,4967,9508,1932,2019-06-17 22:58:05,1,1
17468,20446,13548,12182,4987,3108,9188,1953,2019-06-17 23:01:19,1,1
17469,16064,16452,8408,4960,4608,7991,1966,2019-06-17 23:02:23,1,1
17470,16810,17136,6900,3427,3936,8580,1969,2019-06-17 23:03:29,1,1
17471,17956,12708,8774,4919,3255,8289,1967,2019-06-17 23:04:34,1,1
17472,20236,16446,7300,4708,3685,7941,1973,2019-06-17 23:05:38,1,1
17473,14654,13356,8842,4443,3243,8092,1974,2019-06-17 23:06:42,1,1
17474,23786,14530,9512,5319,3771,8493,1988,2019-06-17 23:07:47,1,1
17475,25768,14896,11520,6138,3517,8208,1995,2019-06-17 23:11:02,1,1
17476,18910,14230,10200,5369,3985,7833,1996,2019-06-17 23:12:05,1,1
17477,19564,12218,12402,5380,2947,8400,1984,2019-06-17 23:13:10,1,1
17478,18064,14264,9850,4746,3472,7764,1975,2019-06-17 23:14:15,1,1
17479,13978,13348,9376,3767,3771,7709,1964,2019-06-17 23:15:20,1,1
17480,20488,12982,8646,5095,3772,8798,1948,2019-06-17 23:16:24,1,1
17481,21908,17950,11280,4944,4842,8322,1936,2019-06-17 23:17:29,1,1
17482,19314,16394,13948,4736,4420,8069,1930,2019-06-17 23:20:44,1,1
17483,22926,14538,10734,6553,4125,9028,1931,2019-06-17 23:21:48,1,1
17484,31272,20594,11302,6741,4807,8273,1937,2019-06-17 23:22:52,1,1
17485,18134,17026,8848,5115,5043,8593,1970,2019-06-17 23:26:06,1,1
17486,20348,16446,8414,5722,4869,8619,1977,2019-06-17 23:27:11,1,1
17487,31026,12370,10596,7187,3562,7809,1974,2019-06-17 23:28:17,1,1
17488,19552,13888,6264,6275,3371,9356,1981,2019-06-17 23:29:20,1,1
17489,22398,12870,11202,4873,3331,9308,2020,2019-06-17 23:34:44,1,1
17490,17390,18276,8458,4835,4846,8153,2020,2019-06-17 23:35:50,1,1
17491,12080,16748,10232,3594,4870,9187,1960,2019-06-17 23:39:03,1,1
17492,20396,15436,8134,4386,3989,8737,1940,2019-06-17 23:40:08,1,1
17493,24166,15214,9122,5684,3751,7570,1910,2019-06-17 23:43:22,1,1
17494,19086,13550,11238,4825,4273,8958,1901,2019-06-17 23:44:26,1,1
17495,20006,13046,11164,5733,3763,8974,1895,2019-06-17 23:45:32,1,1
17496,14926,16452,9862,4002,3420,8466,1892,2019-06-17 23:46:36,1,1
17497,15382,15990,9798,4229,4173,8782,1896,2019-06-17 23:47:40,1,1
17498,22506,10814,12624,5636,3360,8059,1884,2019-06-17 23:48:48,1,1
17499,28834,12020,7974,6760,3603,8414,1868,2019-06-17 23:49:50,1,1
17500,22710,11894,8148,5779,4043,8277,1860,2019-06-17 23:50:57,1,1
17501,28756,10844,9720,7125,3638,8126,1847,2019-06-17 23:51:59,1,1
17502,22552,19852,11806,5671,6102,8920,1844,2019-06-17 23:53:05,1,1
17503,25912,22686,9258,5703,5631,9738,1852,2019-06-17 23:54:11,1,1
17504,17896,20774,13266,4574,5303,9096,1844,2019-06-17 23:55:16,1,1
17505,27234,19468,11726,5710,4458,8122,1856,2019-06-17 23:56:18,1,1
17506,22388,15026,12692,5856,3655,8946,1860,2019-06-17 23:57:23,1,1
17507,15692,16242,9654,4737,3907,9212,1855,2019-06-17 23:58:27,1,1
17508,17840,18576,11882,4586,4914,9359,1867,2019-06-17 23:59:33,1,1
17509,14878,12836,9354,3881,3625,8381,1863,2019-06-18 00:00:37,1,1
17510,22172,11972,7222,4670,2873,8396,1854,2019-06-18 00:01:42,1,1
17511,21974,15596,10160,5708,3905,9168,1845,2019-06-18 00:02:46,1,1
17512,19680,14474,12140,4734,3540,8998,1838,2019-06-18 00:03:52,1,1
17513,26914,19864,9712,6292,5048,9571,1804,2019-06-18 00:07:05,1,1
17514,16278,17578,10996,4619,5147,8338,1792,2019-06-18 00:10:22,1,1
17515,22154,15558,10180,5969,4384,8873,1784,2019-06-18 00:11:24,1,1
17516,23474,13576,13482,5850,3266,9059,1787,2019-06-18 00:12:29,1,1
17517,22434,15346,10312,5788,4530,8181,1774,2019-06-18 00:13:34,1,1
17518,19124,15202,14512,4918,4126,8847,1766,2019-06-18 00:14:38,1,1
17519,19202,14290,9816,5060,4089,7457,1777,2019-06-18 00:15:45,1,1
17520,15622,12920,10164,4650,3763,7722,1772,2019-06-18 00:16:48,1,1
17521,20202,13290,8968,4613,3362,8522,1760,2019-06-18 00:18:57,1,1
17522,29852,16748,9716,6582,4583,9198,1761,2019-06-18 00:20:02,1,1
17523,18822,26820,7226,5169,6769,8750,1758,2019-06-18 00:21:07,1,1
17524,22732,16898,11236,5611,5198,7796,1761,2019-06-18 00:22:12,1,1
17525,22646,17346,5786,6166,3962,9069,1758,2019-06-18 00:23:20,1,1
17526,21108,16356,10278,5890,4354,8643,1760,2019-06-18 00:24:20,1,1
17527,18256,19152,9430,4851,4111,8424,1767,2019-06-18 00:25:25,1,1
17528,22096,14482,9626,6402,4140,8712,1773,2019-06-18 00:26:30,1,1
17529,21524,18708,13306,4931,4561,8130,1781,2019-06-18 00:29:45,1,1
17530,21356,14740,10216,5571,3341,8099,1784,2019-06-18 00:30:48,1,1
