idCollect,accx,accy,accz,rmsx,rmsy,rmsz,temp,data,Gateway_idGateway,Place_idPlace
17035,4908,8062,3696,1334,2310,8264,1551,2019-06-15 19:09:57,1,1
17036,5128,8738,3606,1587,2784,8529,1534,2019-06-15 19:10:57,1,1
17037,5468,9632,3320,1551,2488,8274,1502,2019-06-15 19:12:00,1,1
17038,3068,9232,3690,1183,2447,8289,1500,2019-06-15 19:13:59,1,1
17039,4814,12290,3404,1492,2769,8218,1503,2019-06-15 19:14:57,1,1
17040,5566,7550,2786,1532,1827,8077,1530,2019-06-15 19:15:59,1,1
17041,4386,9002,3964,1227,2332,8511,1556,2019-06-15 19:16:58,1,1
17042,4632,11178,3302,1278,2538,8093,1585,2019-06-15 19:17:59,1,1
17043,5382,10280,4512,1361,3043,7849,1620,2019-06-15 19:18:59,1,1
17044,6144,7108,3544,1871,1774,8362,1650,2019-06-15 19:19:57,1,1
17045,6696,8204,2114,1673,1969,8124,1655,2019-06-15 19:21:01,1,1
17046,5344,8982,3684,1630,2300,8213,1669,2019-06-15 19:21:57,1,1
17047,6172,8724,4004,1556,2270,8113,1698,2019-06-15 19:23:57,1,1
17048,4880,8778,3728,1296,2809,7758,1720,2019-06-15 19:24:57,1,1
17049,4274,10216,3232,1347,2113,8028,1760,2019-06-15 19:25:57,1,1
17050,3896,8644,4622,1393,2051,8209,1781,2019-06-15 19:26:57,1,1
17051,3992,10138,4054,1195,2821,7854,1820,2019-06-15 19:27:58,1,1
17052,4626,8074,3556,1289,2235,7832,1848,2019-06-15 19:28:59,1,1
17053,5600,10320,3644,1374,2619,8439,1874,2019-06-15 19:29:57,1,1
17054,3548,10066,4456,1190,2877,7910,1870,2019-06-15 19:30:58,1,1
17055,5008,8302,3484,1376,2133,8002,1863,2019-06-15 19:31:57,1,1
17056,4246,10670,4134,1158,2693,7655,1877,2019-06-15 19:35:00,1,1
17057,4028,9560,3368,1206,2233,8195,1896,2019-06-15 19:36:00,1,1
17058,4660,8606,4268,1467,2749,8551,1892,2019-06-15 19:36:58,1,1
17059,5548,8552,3660,1541,2038,8477,1893,2019-06-15 19:38:01,1,1
17060,5542,7436,3588,1420,2554,8015,1886,2019-06-15 19:38:58,1,1
17061,4774,8388,3836,1440,2241,8427,1858,2019-06-15 19:39:59,1,1
17062,4606,7024,3564,1069,2444,7819,1852,2019-06-15 19:40:57,1,1
17063,5594,10340,4970,1379,3163,8084,1847,2019-06-15 19:41:57,1,1
17064,4410,5920,3212,1483,1570,7934,1841,2019-06-15 19:42:58,1,1
17065,5720,7538,4818,1794,1883,8336,1837,2019-06-15 19:43:57,1,1
17066,4856,8152,3424,1172,2388,7829,1831,2019-06-15 19:44:57,1,1
17067,5104,6218,3560,1269,1702,7675,1836,2019-06-15 19:45:57,1,1
17068,4728,7958,4168,1072,2258,8326,1824,2019-06-15 19:46:59,1,1
17069,3784,7382,2494,886,2236,7929,1817,2019-06-15 19:48:01,1,1
17070,3824,7518,3264,1449,2786,8799,1809,2019-06-15 19:48:58,1,1
17071,3726,6914,3098,1265,1976,8618,1804,2019-06-15 19:49:58,1,1
17072,4362,9584,3312,1292,2397,8313,1787,2019-06-15 19:51:00,1,1
17073,4824,7448,3460,1269,2043,8085,1787,2019-06-15 19:51:59,1,1
17074,4722,9072,2606,1485,2207,8138,1786,2019-06-15 19:53:01,1,1
17075,4756,8082,4044,1402,2981,8187,1791,2019-06-15 19:53:57,1,1
17076,3996,6096,4118,1435,1557,8154,1788,2019-06-15 19:54:57,1,1
17077,4366,10104,3420,1174,2740,7945,1799,2019-06-15 19:55:57,1,1
17078,3460,8050,2464,1213,2267,7897,1792,2019-06-15 19:57:00,1,1
17079,5128,10274,4580,1440,2729,8039,1796,2019-06-15 19:57:58,1,1
17080,4996,9822,4072,1350,2487,8287,1788,2019-06-15 19:58:57,1,1
17081,4716,7092,2880,1061,2143,8104,1772,2019-06-15 19:59:57,1,1
17082,3342,8182,2772,1063,2036,7909,1778,2019-06-15 20:01:57,1,1
17083,6006,8684,2524,1383,1815,8053,1772,2019-06-15 20:04:57,1,1
17084,4570,9944,3062,1206,2728,8085,1769,2019-06-15 20:06:02,1,1
17085,5490,8438,3856,1473,2297,7939,1768,2019-06-15 20:06:57,1,1
17086,3928,8174,2718,1086,2179,8109,1757,2019-06-15 20:07:57,1,1
17087,4934,7640,3158,1326,1821,8495,1761,2019-06-15 20:08:57,1,1
17088,5130,9056,2472,1696,2102,8012,1780,2019-06-15 20:10:57,1,1
17089,5650,8122,3508,1381,2240,8302,1774,2019-06-15 20:11:59,1,1
17090,4198,5900,2630,1091,1495,8016,1776,2019-06-15 20:13:00,1,1
17091,3488,7970,3238,998,2132,8274,1782,2019-06-15 20:13:57,1,1
17092,3862,6528,3298,1031,1539,8398,1761,2019-06-15 20:15:57,1,1
17093,6494,5858,4350,1613,1755,8443,1681,2019-06-15 20:17:58,1,1
17094,5288,9672,5636,1406,2505,8412,1630,2019-06-15 20:18:57,1,1
17095,6570,7838,4414,1799,2280,8092,1595,2019-06-15 20:20:00,1,1
17096,6572,8682,2786,1879,2244,8651,1581,2019-06-15 20:21:00,1,1
17097,3814,7750,3180,1140,1832,8112,1584,2019-06-15 20:22:01,1,1
17098,4180,8412,2248,1192,2294,8200,1612,2019-06-15 20:23:57,1,1
17099,5524,6102,4412,1476,2157,8151,1616,2019-06-15 20:24:59,1,1
17100,4096,8844,2974,1208,2548,8115,1627,2019-06-15 20:25:59,1,1
17101,4130,8526,3378,1280,2126,8402,1642,2019-06-15 20:27:57,1,1
17102,4246,8330,3890,1379,2127,8202,1664,2019-06-15 20:28:58,1,1
17103,6228,8352,4892,1365,1932,8229,1700,2019-06-15 20:31:58,1,1
17104,5058,7742,4406,1559,2194,8067,1702,2019-06-15 20:34:00,1,1
17105,4888,8424,3162,1230,2056,7977,1693,2019-06-15 20:34:57,1,1
17106,4586,8714,2500,1258,2074,8167,1693,2019-06-15 20:37:00,1,1
17107,5196,7700,3352,1355,2417,8352,1706,2019-06-15 20:38:57,1,1
17108,4406,8236,4314,1352,2166,7827,1698,2019-06-15 20:39:57,1,1
17109,4554,9890,2792,1247,2882,8149,1701,2019-06-15 20:40:58,1,1
17110,4750,7470,4890,1406,1850,8247,1691,2019-06-15 20:41:59,1,1
17111,4228,8094,4524,1270,2084,8380,1700,2019-06-15 20:42:57,1,1
17112,5650,9136,2996,1464,2237,8548,1699,2019-06-15 20:43:57,1,1
17113,5628,9114,4398,1516,2302,7936,1676,2019-06-15 20:45:59,1,1
17114,5598,7038,2010,1389,1799,7846,1693,2019-06-15 20:46:57,1,1
17115,4198,5856,3084,1146,1775,8062,1670,2019-06-15 20:48:01,1,1
17116,5434,7920,3294,1421,2675,8360,1673,2019-06-15 20:48:58,1,1
17117,6616,8446,2416,1584,2636,8572,1676,2019-06-15 20:49:58,1,1
17118,7398,7916,3580,1705,2564,8302,1661,2019-06-15 20:50:58,1,1
17119,6086,10328,3024,1539,3321,8323,1664,2019-06-15 20:51:57,1,1
17120,5456,6180,3464,1671,1747,8547,1656,2019-06-15 20:52:58,1,1
17121,4672,7940,3128,1409,2200,8290,1660,2019-06-15 20:54:02,1,1
17122,5642,8782,5200,1488,2422,8315,1654,2019-06-15 20:54:58,1,1
17123,6400,8126,5846,1521,2177,8445,1623,2019-06-15 20:55:57,1,1
17124,4794,9734,5194,1290,2609,8530,1606,2019-06-15 20:57:58,1,1
17125,5466,8354,3068,1423,2213,8397,1629,2019-06-15 21:01:00,1,1
17126,5518,6300,3226,1576,1704,8313,1644,2019-06-15 21:02:00,1,1
17127,5036,7824,4104,1322,1804,8444,1637,2019-06-15 21:02:58,1,1
17128,4718,7258,3434,1229,1985,7998,1623,2019-06-15 21:03:58,1,1
17129,3700,7656,3738,1007,1668,8017,1616,2019-06-15 21:04:59,1,1
17130,4976,8788,5636,983,2241,8178,1596,2019-06-15 21:05:58,1,1
17131,5702,7962,4230,1528,2049,8183,1588,2019-06-15 21:06:58,1,1
17132,4886,9832,3962,1324,2686,7913,1557,2019-06-15 21:07:57,1,1
17133,7096,10398,4118,1721,2529,8200,1516,2019-06-15 21:09:00,1,1
17134,5410,8758,3650,1284,2119,8398,1464,2019-06-15 21:10:00,1,1
17135,5286,9610,3828,1454,2313,8153,1388,2019-06-15 21:11:58,1,1
17136,5480,9174,4188,1428,2491,8393,1367,2019-06-15 21:12:57,1,1
17137,5310,6462,3400,1408,1817,8520,1347,2019-06-15 21:14:01,1,1
17138,4696,8740,3884,1401,2378,8034,1328,2019-06-15 21:14:58,1,1
17139,5624,9060,3802,1391,2614,8043,1324,2019-06-15 21:15:58,1,1
17140,4994,8932,3572,1236,2161,8395,1302,2019-06-15 21:16:58,1,1
17141,4050,9400,3164,1407,2594,7881,1302,2019-06-15 21:17:57,1,1
17142,5306,8532,3602,1469,2112,8483,1296,2019-06-15 21:19:01,1,1
17143,4802,8160,3092,1375,2393,8401,1286,2019-06-15 21:21:00,1,1
17144,5318,6456,4028,1398,1965,8340,1258,2019-06-15 21:22:01,1,1
17145,6010,8088,3366,1534,2012,8278,1256,2019-06-15 21:23:01,1,1
17146,4808,8278,3618,1368,2473,7976,1252,2019-06-15 21:23:58,1,1
17147,5932,9256,4380,1571,2211,7951,1276,2019-06-15 21:24:57,1,1
17148,3466,8700,5206,1070,2523,8312,1316,2019-06-15 21:25:57,1,1
